id,Oficio,Niveles,Recetas,Recursos,Cantidad
1,Sastre,0,Depedador x44,Cola de miaufián ,132
2,Sastre,0,Depedador x44,Fuego Interno ,132
3,Sastre,8,Sombrero de pío verde x38,Pluma de pío verde ,114
4,Sastre,8,Sombrero de pío verde x38,Reliquia de Incarnam ,114
5,Sastre,19,Bob de campesino x14,Lengua de espanterrador ,42
6,Sastre,19,Bob de campesino x14,Pétalo mágico de Girasol Hambriento ,28
7,Sastre,27,Larvabolso x21,Piel de larva verde ,105
8,Sastre,27,Larvabolso x21,Piel de larva azul ,105
9,Sastre,27,Larvabolso x21,Hilo de seda ,42
10,Sastre,38,Capa cerilla x3,Pétalo de rosa oscura ,15
11,Sastre,38,Capa cerilla x3,Antenas de vilinsekto ,15
12,Sastre,38,Capa cerilla x3,Pata de Blatarata ,9
13,Sastre,40,Escafandra Gina x26,Pinza de cangrejo ,260
14,Sastre,40,Escafandra Gina x26,Pinza de crustoral ,260
15,Sastre,40,Escafandra Gina x26,Pétalo kuraçao ,52
16,Sastre,40,Escafandra Gina x26,Bulbo de kuraçao ,260
17,Sastre,40,Escafandra Gina x26,Coral magistral ,26
18,Sastre,53,La Harapa x2,Pétalo kuraçao ,2
19,Sastre,53,La Harapa x2,Espejo dopeul ,12
20,Sastre,53,La Harapa x2,Papel carbón ,14
21,Sastre,53,La Harapa x2,Frasco de Gelatina Real de Limón ,6
22,Sastre,55,Kanipío x7,Pelos de barba de awelito wabbit ,49
23,Sastre,55,Kanipío x7,Piel de Shin Larva ,14
24,Sastre,55,Kanipío x7,Pétalo malibut ,7
25,Sastre,55,Kanipío x7,Tatuaje de chico malo ,49
26,Sastre,60,Bolso-Zanahowia x3,Rama de pekewabbit hambriento ,18
27,Sastre,60,Bolso-Zanahowia x3,Pelos de barba de awelito wabbit ,18
28,Sastre,60,Bolso-Zanahowia x3,Zanahowia ,12
29,Sastre,60,Bolso-Zanahowia x3,Paño del Wey Wabbit ,3
30,Sastre,63,Dragosombrero carbonoso x17,Huevo de dragohuevo carbonoso ,34
31,Sastre,63,Dragosombrero carbonoso x17,Cáscara de dragohuevo carbonoso ,136
32,Sastre,63,Dragosombrero carbonoso x17,Piel de dragohuevo alabastrado ,51
33,Sastre,63,Dragosombrero carbonoso x17,Pelo de Dragenerys ,17
34,Sastre,63,Dragosombrero carbonoso x17,Cáscara de dragohuevo calizo ,102
35,Sastre,73,Korko Kusko x1,Diente de dragopavo ,10
36,Sastre,73,Korko Kusko x1,Concentrado de fajina ,1
37,Sastre,73,Korko Kusko x1,Morros de mata ,7
38,Sastre,73,Korko Kusko x1,Piedra del Crujidor Legendario ,2
39,Sastre,73,Korko Kusko x1,Pólvora ,1
40,Sastre,74,Sombrero de barbrusa x1,Pólvora ,1
41,Sastre,74,Sombrero de barbrusa x1,Pico de dragopavo dorado ,7
42,Sastre,74,Sombrero de barbrusa x1,Casi-barba de barbrusa ,1
43,Sastre,74,Sombrero de barbrusa x1,Mega piedra del Crujidor Legendario ,1
44,Sastre,74,Sombrero de barbrusa x1,Concentrado de fajina ,1
45,Sastre,75,Sombrero Tierradala x2,Casi-barba de barbrusa ,6
46,Sastre,75,Sombrero Tierradala x2,Concentrado de fajina ,2
47,Sastre,75,Sombrero Tierradala x2,Ojo de yenaparda ,16
48,Sastre,75,Sombrero Tierradala x2,Morros de mata ,18
49,Sastre,75,Sombrero Tierradala x2,Coraza de Mantícoro ,4
50,Sastre,77,Octovius x2,Seta ,16
51,Sastre,77,Octovius x2,Llama espectral ,20
52,Sastre,77,Octovius x2,Cráneo de jefe cocodrail ,2
53,Sastre,77,Octovius x2,Tejido de Gurlo el Terrible ,2
54,Sastre,77,Octovius x2,Kralamar ,1000
55,Sastre,79,Corona del rey Gelax x16,Frasco de Gelatina Real de Aciano ,32
56,Sastre,79,Corona del rey Gelax x16,Frasco de Gelatina Real de Fresa ,32
57,Sastre,79,Corona del rey Gelax x16,Frasco de Gelatina Real de Limón ,32
58,Sastre,79,Corona del rey Gelax x16,Frasco de Gelatina Real de Menta ,32
59,Sastre,79,Corona del rey Gelax x16,Gelatina de limón ,160
60,Sastre,89,Sombrero de jalatranki x4,Lana de jalatranki ,24
61,Sastre,89,Sombrero de jalatranki x4,Cuerno de jalatranki ,12
62,Sastre,89,Sombrero de jalatranki x4,Trenza de Trankitronko ,12
63,Sastre,89,Sombrero de jalatranki x4,Concentrado de fajina ,8
64,Sastre,89,Sombrero de jalatranki x4,Sesos de jalató de las cuevas ,8
65,Sastre,89,Sombrero de jalatranki x4,Coraza de Mantícoro ,12
66,Sastre,92,Capa Fuegodala x4,Ojo de cangrabino ,12
67,Sastre,92,Capa Fuegodala x4,Gafas de pekewobot ,12
68,Sastre,92,Capa Fuegodala x4,Cabellera de Maxilubo ,12
69,Sastre,92,Capa Fuegodala x4,Concentrado de bosquecillo ,4
